sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,assigned_station,assigned_pod,status
0,-50,1,169,2,0,picker-2,49.0,-1
1,-49,1,7,3,0,,,-3
2,-49,1,140,6,0,,,-3
3,-48,1,101,8,0,picker-2,165.0,-1
4,-47,1,13,2,0,picker-0,117.0,0
5,-46,1,60,12,0,picker-0,190.0,-1
6,-46,1,2,6,0,picker-0,143.0,-1
7,-45,1,27,8,0,,,-3
8,-45,1,10,11,0,,,-3
9,-44,1,39,6,0,picker-0,,-1
10,-44,1,2,9,0,picker-0,,-1
11,-44,1,118,5,0,picker-0,59.0,-1
12,-44,1,239,8,0,picker-0,46.0,-1
13,-43,1,251,2,0,picker-2,,-1
14,-42,1,187,9,0,picker-2,89.0,-1
15,-41,1,1,6,0,picker-1,262.0,-1
16,-41,1,70,8,0,picker-1,189.0,-1
17,-41,1,40,2,0,picker-1,81.0,-1
18,-41,1,470,6,0,picker-1,278.0,-1
19,-41,1,34,8,0,picker-1,115.0,-1
20,-41,1,0,8,0,picker-1,136.0,-1
21,-41,1,14,2,0,picker-1,244.0,-1
22,-40,1,26,11,0,,,-3
23,-40,1,54,6,0,,,-3
24,-40,1,20,6,0,,,-3
25,-39,1,15,4,0,,,-3
26,-38,1,71,2,0,picker-2,47.0,-1
27,-37,1,0,7,0,picker-1,,-1
28,-36,1,69,2,0,,,-3
29,-36,1,40,8,0,,,-3
30,-36,1,2,6,0,,,-3
31,-36,1,76,7,0,,,-3
32,-36,1,0,7,0,,,-3
33,-36,1,12,4,0,,,-3
34,-36,1,10,8,0,,,-3
35,-36,1,30,9,0,,,-3
36,-35,1,190,10,0,,,-3
37,-34,1,17,12,0,picker-2,,-1
38,-34,1,144,8,0,picker-2,,-1
39,-33,1,6,10,0,picker-1,233.0,-1
40,-33,1,94,10,0,picker-1,,-1
41,-33,1,14,8,0,picker-1,94.0,-1
42,-33,1,0,8,0,picker-1,,-1
43,-33,1,9,10,0,picker-1,,-1
44,-33,1,43,2,0,picker-1,,-1
45,-32,1,238,7,0,,,-3
46,-31,1,2,12,0,picker-0,180.0,-1
47,-31,1,5,6,0,picker-0,22.0,-1
