sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-50,1,452,8,0
1,-50,1,34,8,0
2,-50,1,131,10,0
3,-50,1,11,5,0
4,-49,1,47,2,0
5,-49,1,10,8,0
6,-49,1,68,8,0
7,-49,1,0,4,0
8,-48,1,71,2,0
9,-47,1,41,8,0
10,-46,1,68,6,0
11,-46,1,120,6,0
12,-46,1,1,3,0
13,-46,1,3,1,0
14,-46,1,9,6,0
15,-45,1,72,7,0
16,-45,1,49,7,0
17,-45,1,14,2,0
18,-45,1,61,8,0
19,-44,1,91,11,0
20,-43,1,0,6,0
21,-43,1,9,9,0
22,-42,1,339,10,0
23,-41,1,25,7,0
24,-41,1,7,4,0
25,-41,1,375,6,0
26,-40,1,26,10,0
27,-40,1,29,9,0
28,-39,1,167,6,0
29,-39,1,133,5,0
30,-38,1,79,9,0
31,-38,1,63,7,0
32,-38,1,42,11,0
33,-37,1,3,7,0
34,-37,1,94,8,0
35,-37,1,0,5,0
36,-37,1,38,6,0
37,-36,1,139,10,0
38,-35,1,23,5,0
39,-34,1,125,11,0
40,-34,1,39,7,0
41,-33,1,0,5,0
42,-32,1,19,9,0
43,-32,1,17,4,0
44,-32,1,41,2,0
45,-31,1,3,10,0
46,-31,1,6,6,0
47,-31,1,21,10,0
48,-30,1,26,10,0
49,-30,1,185,6,0
50,-30,1,18,10,0
51,-30,1,166,10,0
52,-29,1,24,6,0
53,-28,1,23,4,0
54,-28,1,11,2,0
55,-27,1,90,9,0
56,-27,1,189,9,0
57,-26,1,83,10,0
58,-25,1,14,8,0
59,-24,1,3,3,0
60,-23,1,0,4,0
61,-22,1,10,6,0
62,-22,1,177,4,0
63,-22,1,26,6,0
64,-22,1,9,10,0
65,-21,1,34,6,0
66,-21,1,22,9,0
67,-21,1,151,4,0
68,-21,1,35,4,0
69,-21,1,63,8,0
70,-21,1,2,5,0
71,-21,1,3,3,0
72,-20,1,157,7,0
73,-20,1,14,8,0
74,-20,1,55,8,0
75,-20,1,45,4,0
76,-20,1,80,6,0
77,-20,1,11,6,0
78,-20,1,99,7,0
79,-19,1,55,1,0
80,-19,1,42,11,0
81,-19,1,15,10,0
82,-19,1,32,8,0
83,-18,1,171,4,0
84,-18,1,12,2,0
85,-17,1,113,6,0
86,-16,1,22,10,0
87,-15,1,113,6,0
88,-15,1,81,8,0
89,-15,1,186,8,0
90,-14,1,23,4,0
91,-13,1,415,3,0
92,-13,1,14,7,0
93,-13,1,98,10,0
94,-13,1,27,9,0
95,-13,1,30,6,0
96,-13,1,4,6,0
97,-13,1,62,7,0
98,-13,1,104,11,0
99,-13,1,41,8,0
100,-12,1,38,4,0
101,-11,1,4,6,0
102,-11,1,432,9,0
103,-11,1,33,5,0
104,-11,1,40,7,0
105,-11,1,10,10,0
106,-11,1,89,11,0
107,-11,1,19,7,0
108,-11,1,60,5,0
109,-10,1,10,8,0
110,-9,1,33,8,0
111,-9,1,42,3,0
112,-9,1,37,9,0
113,-9,1,44,4,0
114,-8,1,117,2,0
115,-8,1,17,2,0
116,-8,1,58,9,0
117,-8,1,76,4,0
118,-8,1,10,9,0
119,-8,1,194,3,0
120,-8,1,49,8,0
121,-8,1,4,8,0
122,-8,1,40,3,0
123,-7,1,0,3,0
124,-7,1,162,2,0
125,-7,1,161,2,0
126,-7,1,16,6,0
127,-7,1,241,2,0
128,-6,1,107,8,0
129,-5,1,283,4,0
130,-5,1,1,10,0
131,-5,1,49,4,0
132,-5,1,182,6,0
133,-5,1,65,8,0
134,-5,1,30,7,0
135,-5,1,7,5,0
136,-5,1,191,11,0
137,-5,1,89,4,0
138,-5,1,14,7,0
139,-5,1,0,8,0
140,-4,1,35,4,0
141,-4,1,73,6,0
142,-4,1,19,8,0
143,-4,1,4,6,0
144,-3,1,1,2,0
145,-3,1,20,3,0
146,-3,1,0,12,0
147,-2,1,41,7,0
148,-2,1,81,12,0
149,-2,1,91,7,0
150,-1,1,1,7,0
