order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,10,4,-1,99999,-1,-1,-3,-1,1,240
1,0,1,27,9,-1,99999,-1,-1,-3,-1,1,240
2,1,1,40,10,-1,99999,-1,-1,-3,-1,1,240
3,2,1,346,2,-1,99999,-1,-1,-3,-1,1,300
4,2,1,12,8,-1,99999,-1,-1,-3,-1,1,300
5,2,1,89,11,-1,99999,-1,-1,-3,-1,1,300
6,2,1,48,4,-1,99999,-1,-1,-3,-1,1,300
7,2,1,271,6,-1,99999,-1,-1,-3,-1,1,300
8,2,1,47,8,-1,99999,-1,-1,-3,-1,1,300
9,3,1,118,8,-1,99999,-1,-1,-3,-1,1,300
10,4,1,14,4,-1,99999,-1,-1,-3,-1,1,360
11,4,1,184,10,-1,99999,-1,-1,-3,-1,1,360
12,5,1,34,3,-1,99999,-1,-1,-3,-1,1,360
13,6,1,5,8,-1,99999,-1,-1,-3,-1,1,420
14,6,1,49,4,-1,99999,-1,-1,-3,-1,1,420
15,6,1,3,7,-1,99999,-1,-1,-3,-1,1,420
16,7,1,108,2,-1,99999,-1,-1,-3,-1,1,420
17,8,1,0,2,-1,99999,-1,-1,-3,-1,1,480
18,9,1,175,5,-1,99999,-1,-1,-3,-1,1,480
19,9,1,265,6,-1,99999,-1,-1,-3,-1,1,480
20,10,1,35,3,-1,99999,-1,-1,-3,-1,1,480
21,11,1,423,8,-1,99999,-1,-1,-3,-1,1,600
22,11,1,70,6,-1,99999,-1,-1,-3,-1,1,600
23,12,1,14,5,-1,99999,-1,-1,-3,-1,1,660
24,12,1,48,4,-1,99999,-1,-1,-3,-1,1,660
25,12,1,40,6,-1,99999,-1,-1,-3,-1,1,660
26,13,1,39,4,-1,99999,-1,-1,-3,-1,1,660
27,13,1,95,2,-1,99999,-1,-1,-3,-1,1,660
28,13,1,179,8,-1,99999,-1,-1,-3,-1,1,660
29,13,1,9,7,-1,99999,-1,-1,-3,-1,1,660
30,13,1,2,4,-1,99999,-1,-1,-3,-1,1,660
31,13,1,49,10,-1,99999,-1,-1,-3,-1,1,660
32,13,1,40,8,-1,99999,-1,-1,-3,-1,1,660
33,13,1,154,1,-1,99999,-1,-1,-3,-1,1,660
34,13,1,54,8,-1,99999,-1,-1,-3,-1,1,660
35,14,1,108,4,-1,99999,-1,-1,-3,-1,1,660
36,15,1,31,2,-1,99999,-1,-1,-3,-1,1,660
37,15,1,43,8,-1,99999,-1,-1,-3,-1,1,660
38,16,1,0,7,-1,99999,-1,-1,-3,-1,1,720
39,17,1,192,4,-1,99999,-1,-1,-3,-1,1,720
40,17,1,43,7,-1,99999,-1,-1,-3,-1,1,720
41,17,1,38,5,-1,99999,-1,-1,-3,-1,1,720
42,17,1,118,5,-1,99999,-1,-1,-3,-1,1,720
43,18,1,268,4,-1,99999,-1,-1,-3,-1,1,780
44,19,1,128,6,-1,99999,-1,-1,-3,-1,1,840
45,19,1,60,8,-1,99999,-1,-1,-3,-1,1,840
46,19,1,135,8,-1,99999,-1,-1,-3,-1,1,840
47,19,1,498,6,-1,99999,-1,-1,-3,-1,1,840
48,19,1,64,10,-1,99999,-1,-1,-3,-1,1,840
49,19,1,16,4,-1,99999,-1,-1,-3,-1,1,840
50,19,1,66,5,-1,99999,-1,-1,-3,-1,1,840
51,19,1,14,6,-1,99999,-1,-1,-3,-1,1,840
52,19,1,96,9,-1,99999,-1,-1,-3,-1,1,840
53,19,1,174,4,-1,99999,-1,-1,-3,-1,1,840
54,19,1,3,3,-1,99999,-1,-1,-3,-1,1,840
55,19,1,6,8,-1,99999,-1,-1,-3,-1,1,840
56,19,1,220,6,-1,99999,-1,-1,-3,-1,1,840
57,20,1,19,10,-1,99999,-1,-1,-3,-1,1,840
58,21,1,30,8,-1,99999,-1,-1,-3,-1,1,840
59,21,1,28,6,-1,99999,-1,-1,-3,-1,1,840
60,21,1,40,8,-1,99999,-1,-1,-3,-1,1,840
61,21,1,78,8,-1,99999,-1,-1,-3,-1,1,840
62,21,1,85,8,-1,99999,-1,-1,-3,-1,1,840
63,21,1,223,12,-1,99999,-1,-1,-3,-1,1,840
64,22,1,46,9,-1,99999,-1,-1,-3,-1,1,840
65,22,1,7,8,-1,99999,-1,-1,-3,-1,1,840
66,22,1,17,9,-1,99999,-1,-1,-3,-1,1,840
67,22,1,111,12,-1,99999,-1,-1,-3,-1,1,840
68,23,1,57,7,-1,99999,-1,-1,-3,-1,1,900
69,23,1,49,8,-1,99999,-1,-1,-3,-1,1,900
70,23,1,14,10,-1,99999,-1,-1,-3,-1,1,900
71,24,1,48,4,-1,99999,-1,-1,-3,-1,1,900
72,24,1,13,4,-1,99999,-1,-1,-3,-1,1,900
73,24,1,193,12,-1,99999,-1,-1,-3,-1,1,900
74,24,1,7,6,-1,99999,-1,-1,-3,-1,1,900
75,24,1,163,6,-1,99999,-1,-1,-3,-1,1,900
76,24,1,5,8,-1,99999,-1,-1,-3,-1,1,900
77,25,1,110,6,-1,99999,-1,-1,-3,-1,1,960
78,25,1,7,2,-1,99999,-1,-1,-3,-1,1,960
79,25,1,6,12,-1,99999,-1,-1,-3,-1,1,960
80,25,1,71,10,-1,99999,-1,-1,-3,-1,1,960
81,25,1,13,8,-1,99999,-1,-1,-3,-1,1,960
82,25,1,37,11,-1,99999,-1,-1,-3,-1,1,960
83,26,1,17,10,-1,99999,-1,-1,-3,-1,1,1020
84,26,1,41,8,-1,99999,-1,-1,-3,-1,1,1020
85,26,1,19,11,-1,99999,-1,-1,-3,-1,1,1020
86,26,1,9,4,-1,99999,-1,-1,-3,-1,1,1020
87,26,1,91,7,-1,99999,-1,-1,-3,-1,1,1020
88,26,1,139,7,-1,99999,-1,-1,-3,-1,1,1020
89,27,1,43,8,-1,99999,-1,-1,-3,-1,1,1080
90,27,1,112,12,-1,99999,-1,-1,-3,-1,1,1080
91,27,1,340,11,-1,99999,-1,-1,-3,-1,1,1080
92,27,1,90,6,-1,99999,-1,-1,-3,-1,1,1080
93,28,1,33,6,-1,99999,-1,-1,-3,-1,1,1080
94,29,1,89,6,-1,99999,-1,-1,-3,-1,1,1140
95,29,1,15,2,-1,99999,-1,-1,-3,-1,1,1140
96,30,1,113,5,-1,99999,-1,-1,-3,-1,1,1200
97,31,1,150,4,-1,99999,-1,-1,-3,-1,1,1200
98,31,1,137,10,-1,99999,-1,-1,-3,-1,1,1200
99,31,1,9,8,-1,99999,-1,-1,-3,-1,1,1200
100,31,1,59,4,-1,99999,-1,-1,-3,-1,1,1200
101,31,1,197,3,-1,99999,-1,-1,-3,-1,1,1200
102,31,1,1,6,-1,99999,-1,-1,-3,-1,1,1200
103,32,1,39,9,-1,99999,-1,-1,-3,-1,1,1260
