sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-50,1,452,8,0
1,-50,1,34,8,0
2,-50,1,131,10,0
3,-50,1,11,5,0
4,-49,1,47,2,0
5,-49,1,10,8,0
6,-49,1,68,8,0
7,-49,1,0,4,0
8,-48,1,71,2,0
9,-47,1,41,8,0
10,-46,1,68,6,0
11,-46,1,120,6,0
12,-46,1,1,3,0
13,-46,1,3,1,0
14,-46,1,9,6,0
15,-45,1,72,7,0
16,-45,1,49,7,0
17,-45,1,14,2,0
18,-45,1,61,8,0
19,-44,1,91,11,0
20,-43,1,0,6,0
21,-43,1,9,9,0
22,-42,1,339,10,0
23,-41,1,25,7,0
24,-41,1,7,4,0
25,-41,1,375,6,0
26,-40,1,26,10,0
27,-40,1,29,9,0
28,-39,1,167,6,0
29,-39,1,133,5,0
30,-38,1,79,9,0
31,-38,1,63,7,0
32,-38,1,42,11,0
33,-37,1,3,7,0
34,-37,1,94,8,0
35,-37,1,0,5,0
36,-37,1,38,6,0
37,-36,1,139,10,0
38,-35,1,23,5,0
39,-34,1,125,11,0
40,-34,1,39,7,0
41,-33,1,0,5,0
42,-32,1,19,9,0
43,-32,1,17,4,0
44,-32,1,41,2,0
45,-31,1,3,10,0
46,-31,1,6,6,0
47,-31,1,21,10,0
48,-30,1,26,10,0
49,-30,1,185,6,0
50,-30,1,18,10,0
51,-30,1,166,10,0
52,-29,1,24,6,0
53,-28,1,23,4,0
54,-28,1,11,2,0
55,-27,1,90,9,0
56,-27,1,189,9,0
57,-26,1,83,10,0
58,-25,1,14,8,0
59,-24,1,3,3,0
60,-23,1,0,4,0
61,-22,1,10,6,0
62,-22,1,177,4,0
63,-22,1,26,6,0
64,-22,1,9,10,0
65,-21,1,34,6,0
66,-21,1,22,9,0
67,-21,1,151,4,0
68,-21,1,35,4,0
69,-21,1,63,8,0
70,-21,1,2,5,0
71,-21,1,3,3,0
72,-20,1,157,7,0
73,-20,1,14,8,0
74,-20,1,55,8,0
75,-20,1,45,4,0
76,-20,1,80,6,0
77,-20,1,11,6,0
78,-20,1,99,7,0
79,-19,1,55,1,0
80,-19,1,42,11,0
81,-19,1,15,10,0
82,-19,1,32,8,0
83,-18,1,171,4,0
84,-18,1,12,2,0
85,-17,1,113,6,0
86,-16,1,22,10,0
87,-15,1,113,6,0
88,-15,1,81,8,0
89,-15,1,186,8,0
90,-14,1,23,4,0
91,-13,1,415,3,0
92,-13,1,14,7,0
93,-13,1,98,10,0
94,-13,1,27,9,0
95,-13,1,30,6,0
96,-13,1,4,6,0
97,-13,1,62,7,0
98,-13,1,104,11,0
99,-13,1,41,8,0
100,-12,1,38,4,0
101,-11,1,4,6,0
102,-11,1,432,9,0
103,-11,1,33,5,0
104,-11,1,40,7,0
105,-11,1,10,10,0
106,-11,1,89,11,0
107,-11,1,19,7,0
108,-11,1,60,5,0
109,-10,1,10,8,0
110,-9,1,33,8,0
111,-9,1,42,3,0
112,-9,1,37,9,0
113,-9,1,44,4,0
114,-8,1,117,2,0
115,-8,1,17,2,0
116,-8,1,58,9,0
117,-8,1,76,4,0
118,-8,1,10,9,0
119,-8,1,194,3,0
120,-8,1,49,8,0
121,-8,1,4,8,0
122,-8,1,40,3,0
123,-7,1,0,3,0
124,-7,1,162,2,0
125,-7,1,161,2,0
126,-7,1,16,6,0
127,-7,1,241,2,0
128,-6,1,107,8,0
129,-5,1,283,4,0
130,-5,1,1,10,0
131,-5,1,49,4,0
132,-5,1,182,6,0
133,-5,1,65,8,0
134,-5,1,30,7,0
135,-5,1,7,5,0
136,-5,1,191,11,0
137,-5,1,89,4,0
138,-5,1,14,7,0
139,-5,1,0,8,0
140,-4,1,35,4,0
141,-4,1,73,6,0
142,-4,1,19,8,0
143,-4,1,4,6,0
144,-3,1,1,2,0
145,-3,1,20,3,0
146,-3,1,0,12,0
147,-2,1,41,7,0
148,-2,1,81,12,0
149,-2,1,91,7,0
150,-1,1,1,7,0
151,0,1,10,4,240
152,0,1,27,9,240
153,1,1,40,10,240
154,2,1,346,2,300
155,2,1,12,8,300
156,2,1,89,11,300
157,2,1,48,4,300
158,2,1,271,6,300
159,2,1,47,8,300
160,3,1,118,8,300
161,4,1,14,4,360
162,4,1,184,10,360
163,5,1,34,3,360
164,6,1,5,8,420
165,6,1,49,4,420
166,6,1,3,7,420
167,7,1,108,2,420
168,8,1,0,2,480
169,9,1,175,5,480
170,9,1,265,6,480
171,10,1,35,3,480
172,11,1,423,8,600
173,11,1,70,6,600
174,12,1,14,5,660
175,12,1,48,4,660
176,12,1,40,6,660
177,13,1,39,4,660
178,13,1,95,2,660
179,13,1,179,8,660
180,13,1,9,7,660
181,13,1,2,4,660
182,13,1,49,10,660
183,13,1,40,8,660
184,13,1,154,1,660
185,13,1,54,8,660
186,14,1,108,4,660
187,15,1,31,2,660
188,15,1,43,8,660
189,16,1,0,7,720
190,17,1,192,4,720
191,17,1,43,7,720
192,17,1,38,5,720
193,17,1,118,5,720
194,18,1,268,4,780
195,19,1,128,6,840
196,19,1,60,8,840
197,19,1,135,8,840
198,19,1,498,6,840
199,19,1,64,10,840
200,19,1,16,4,840
201,19,1,66,5,840
202,19,1,14,6,840
203,19,1,96,9,840
204,19,1,174,4,840
205,19,1,3,3,840
206,19,1,6,8,840
207,19,1,220,6,840
208,20,1,19,10,840
209,21,1,30,8,840
210,21,1,28,6,840
211,21,1,40,8,840
212,21,1,78,8,840
213,21,1,85,8,840
214,21,1,223,12,840
215,22,1,46,9,840
216,22,1,7,8,840
217,22,1,17,9,840
218,22,1,111,12,840
219,23,1,57,7,900
220,23,1,49,8,900
221,23,1,14,10,900
222,24,1,48,4,900
223,24,1,13,4,900
224,24,1,193,12,900
225,24,1,7,6,900
226,24,1,163,6,900
227,24,1,5,8,900
228,25,1,110,6,960
229,25,1,7,2,960
230,25,1,6,12,960
231,25,1,71,10,960
232,25,1,13,8,960
233,25,1,37,11,960
234,26,1,17,10,1020
235,26,1,41,8,1020
236,26,1,19,11,1020
237,26,1,9,4,1020
238,26,1,91,7,1020
239,26,1,139,7,1020
240,27,1,43,8,1080
241,27,1,112,12,1080
242,27,1,340,11,1080
243,27,1,90,6,1080
244,28,1,33,6,1080
245,29,1,89,6,1140
246,29,1,15,2,1140
247,30,1,113,5,1200
248,31,1,150,4,1200
249,31,1,137,10,1200
250,31,1,9,8,1200
251,31,1,59,4,1200
252,31,1,197,3,1200
