Experiment Group,completion_rate_mean,completion_rate_std,completion_rate_sem,energy_per_order_mean,energy_per_order_std,energy_per_order_sem,signal_switches_mean,signal_switches_std,signal_switches_<lambda_0>,completed_orders_mean,completed_orders_std,completed_orders_<lambda_0>
no_controller,0.8884,0.0182,0.0091,180.1048,12.5450,6.2725,0.0000,0.0000,0.0000,191.0000,3.9158,1.9579
dqn_dqn_model_step_55000,0.8836,0.0109,0.0054,183.1974,10.3672,5.1836,13191.2500,149.8474,74.9237,188.0000,3.2660,1.6330
queue_based,0.8801,0.0130,0.0065,193.6532,34.0918,17.0459,12881.7500,401.8311,200.9156,187.2500,3.7749,1.8875
dqn_dqn_model_global_55000,0.8734,0.0065,0.0033,184.5866,20.1981,10.0991,13477.7500,363.5000,181.7500,186.2500,1.8930,0.9465
nerl_nerl_global_b3000ticks,0.8733,0.0151,0.0076,156.6949,8.7540,4.3770,11999.2500,312.9253,156.4627,186.0000,3.1623,1.5811
nerl_nerl_global_a3000ticks,0.8710,0.0235,0.0117,169.2217,31.1150,15.5575,12221.5000,317.1650,158.5825,185.5000,3.8730,1.9365
time_based,0.8589,0.0194,0.0112,162.9613,15.0371,8.6817,9900.0000,0.0000,0.0000,184.6667,4.1633,2.4037
nerl_nerl_step_a8000ticks,0.8575,0.0514,0.0257,140.3126,31.3316,15.6658,12188.7500,275.5133,137.7567,183.7500,11.6440,5.8220
nerl_nerl_step_b3000ticks,0.8565,0.0290,0.0145,147.9236,50.4923,25.2462,12230.5000,381.8905,190.9452,183.5000,6.0277,3.0139
nerl_nerl_step_a3000ticks,0.8563,0.0366,0.0183,122.7783,28.6996,14.3498,12092.2500,970.5165,485.2582,183.2500,8.1803,4.0901
nerl_nerl_global_b8000ticks,0.8545,0.0299,0.0150,149.5427,23.2081,11.6041,11903.0000,231.0137,115.5069,182.2500,7.3201,3.6600
nerl_nerl_step_b8000ticks,0.8526,0.0124,0.0062,144.1809,19.6680,9.8340,11997.5000,442.2266,221.1133,180.7500,2.6300,1.3150
nerl_nerl_global_a8000ticks,0.8428,0.0380,0.0190,117.7915,38.2340,19.1170,12019.5000,364.4141,182.2071,179.5000,7.7244,3.8622
