Experiment Group,Completion Rate (Run 1),Completion Rate (Run 2),Completion Rate (Run 3),Completion Rate (Run 4),Energy per Order (Run 1),Energy per Order (Run 2),Energy per Order (Run 3),Energy per Order (Run 4),Total Energy (Run 1),Total Energy (Run 2),Total Energy (Run 3),Total Energy (Run 4),Signal Switches (Run 1),Signal Switches (Run 2),Signal Switches (Run 3),Signal Switches (Run 4),Completed Orders (Run 1),Completed Orders (Run 2),Completed Orders (Run 3),Completed Orders (Run 4)
dqn_dqn_model_global_55000,0.8644859813084113,0.8773584905660378,0.8790697674418605,0.8726415094339622,204.53019070608147,179.962756246638,158.38730716600702,195.46611548310702,37838.08528062507,33473.07266187467,29935.201054375324,36161.2313643748,13386,13416,13986,13123,185,186,189,185
dqn_dqn_model_step_55000,0.8867924528301887,0.8930232558139535,0.8679245283018868,0.8867924528301887,190.30195297207692,168.75594913411493,182.594362017663,191.13725720744708,35776.76715875046,32401.142233750066,33597.36261124999,35933.80435500005,13266,13212,13312,12975,188,192,184,188
nerl_nerl_global_a3000ticks,0.8779342723004695,0.8372093023255814,0.8915094339622641,0.8773584905660378,205.74667955293276,133.38757847596008,156.91738104588416,180.8352415841701,38474.62907639843,24009.764125672817,29657.385017672106,33635.35493465564,11898,12656,12199,12133,187,180,189,186
nerl_nerl_global_a8000ticks,0.8113207547169812,0.8679245283018868,0.8826291079812206,0.8093023255813954,107.65262134624864,124.0576164573755,165.74927432583738,73.70635442504219,18516.250871554766,22826.601428157093,31160.86357325743,12824.905669957341,11590,11883,12435,12170,172,184,188,174
nerl_nerl_global_b3000ticks,0.8915094339622641,0.8726415094339622,0.8544600938967136,0.8744186046511628,166.78437481827277,158.51358117044913,145.54989915205218,155.9316666283243,31522.24684065355,29325.012516533086,26490.081645673494,29315.15332612497,12366,11748,11730,12153,189,185,182,188
nerl_nerl_global_b8000ticks,0.8113207547169812,0.8785046728971962,0.8697674418604651,0.8584905660377359,131.54188792519838,136.16770214108192,182.84750823975716,147.61372505209062,22625.204723134124,25599.5280025234,34192.48404083459,26865.69795948049,11907,11628,12193,11884,172,188,187,182
nerl_nerl_step_a3000ticks,0.8632075471698113,0.8037383177570093,0.8697674418604651,0.8883720930232558,94.30362241367874,107.34394941763634,159.86506716296,129.60061095545637,17257.562901703208,18463.15929983345,29894.767559473523,24753.71669249217,12748,10663,12643,12315,183,172,187,191
nerl_nerl_step_a8000ticks,0.8604651162790697,0.8878504672897196,0.784037558685446,0.8976744186046511,136.84881068948266,178.045080154288,101.70612760895439,144.6504783631569,25317.02997755429,33828.56522931472,16984.923310695383,27917.542324089285,12121,12522,11860,12252,185,190,167,193
nerl_nerl_step_b3000ticks,0.813953488372093,0.8790697674418605,0.8651162790697674,0.8679245283018868,83.72799944936388,182.2974600280466,132.0032841407546,193.6656386034735,14652.399903638678,34454.21994530081,24552.610850180357,35634.477503039125,12108,12212,12755,11847,175,189,186,184
nerl_nerl_step_b8000ticks,0.8632075471698113,0.8537735849056604,0.8584905660377359,0.8349056603773585,153.12150696383156,119.65989823005566,165.34832494140173,138.5937106254955,28021.235774381177,21658.441579640075,30093.395139335116,24531.086780712703,12027,12534,11977,11452,183,181,182,177
no_controller,0.9116279069767442,0.8697674418604651,0.8930232558139535,0.8790697674418605,164.0676549202824,191.30304493649726,188.76247273762905,176.28592600529265,32157.260364375346,35773.669403124986,36242.39476562478,33318.04001500031,0,0,0,0,196,187,192,189
queue_based,0.8773584905660378,0.8867924528301887,0.8632075471698113,0.8930232558139535,188.2700164986555,216.30818303856304,222.40289537568287,147.63163536458498,35018.223068749925,40665.93841124985,40699.72985374997,28345.273990000318,12367,13232,12760,13168,186,188,183,192
time_based,0.8372093023255814,0.8651162790697674,1.0,0.8744186046511628,178.3876783263908,162.15001187836,96.89104533653905,148.34629662566624,32109.782098750347,30159.90220937496,2519.1671787500154,27889.103765625252,9900,9900,594,9900,180,186,26,188
